analysis	signature_acc	signature_desc	hit_rows	unique_proteins
PANTHER	PTHR14005	EUKARYOTIC TRANSLATION INITIATION FACTOR 3, THETA SUBUNIT	4	4
PANTHER	PTHR14009	LEUCINE ZIPPER-EF-HAND CONTAINING TRANSMEMBRANE PROTEIN	4	4
PANTHER	PTHR14068	EUKARYOTIC TRANSLATION INITIATION FACTOR 3  EIF3 -RELATED	4	4
PANTHER	PTHR14074	HELICASE WITH DEATH DOMAIN-RELATED	4	4
PANTHER	PTHR14085	WD-REPEAT PROTEIN BING4	4	4
PANTHER	PTHR14604	WD40 REPEAT PF20	4	4
PANTHER	PTHR14885	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 43-RELATED	4	4
PANTHER	PTHR15239	NUCLEAR EXPORT MEDIATOR FACTOR NEMF	4	4
PANTHER	PTHR15458	PHOSPHATIDYLETHANOLAMINE N-METHYLTRANSFERASE	4	4
PANTHER	PTHR15654	COILED-COIL DOMAIN-CONTAINING PROTEIN 113-RELATED	4	4
PANTHER	PTHR15722	IFT140/172-RELATED	4	4
PANTHER	PTHR15818	G PATCH AND KOW-CONTAINING	4	4
PANTHER	PTHR16027	DILUTE DOMAIN-CONTAINING PROTEIN YPR089W	4	4
PANTHER	PTHR16275	COILED-COIL DOMAIN-CONTAINING PROTEIN 40	4	4
PANTHER	PTHR16517	TUBBY-RELATED	4	4
PANTHER	PTHR17695	SMALL SUBUNIT PROCESSOME COMPONENT 20 HOMOLOG	4	4
PANTHER	PTHR18901	2-DEOXYGLUCOSE-6-PHOSPHATE PHOSPHATASE 2	4	4
PANTHER	PTHR18962	COILED-COIL DOMAIN-CONTAINING PROTEIN 39	4	4
PANTHER	PTHR19134	RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE	4	4
PANTHER	PTHR19282	TETRASPANIN	4	4
PANTHER	PTHR19308	PHOSPHATIDYLCHOLINE TRANSFER PROTEIN	4	4
PANTHER	PTHR19849	PHOSPHOLIPASE A-2-ACTIVATING PROTEIN	4	4
PANTHER	PTHR19858	WD40 REPEAT PROTEIN	4	4
PANTHER	PTHR19876	COATOMER	4	4
PANTHER	PTHR19879	TRANSCRIPTION INITIATION FACTOR TFIID	4	4
PANTHER	PTHR20855	ADIPOR/PROGESTIN RECEPTOR-RELATED	4	4
PANTHER	PTHR21181		4	4
PANTHER	PTHR21257	DELTA(14)-STEROL REDUCTASE	4	4
PANTHER	PTHR21294	ELECTRON TRANSFER FLAVOPROTEIN BETA-SUBUNIT	4	4
PANTHER	PTHR21371	KETOL-ACID REDUCTOISOMERASE, MITOCHONDRIAL	4	4
PANTHER	PTHR21432	ACETYL-COA HYDROLASE-RELATED	4	4
PANTHER	PTHR21535	MAGNESIUM AND COBALT TRANSPORT PROTEIN/MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM8	4	4
PANTHER	PTHR21576	UNCHARACTERIZED NODULIN-LIKE PROTEIN	4	4
PANTHER	PTHR21600	MITOCHONDRIAL RNA PSEUDOURIDINE SYNTHASE	4	4
PANTHER	PTHR21625	NYD-SP28 PROTEIN	4	4
PANTHER	PTHR21683	COILED-COIL DOMAIN-CONTAINING PROTEIN 42 LIKE-2-LIKE-RELATED	4	4
PANTHER	PTHR21711	MITOCHONDRIAL INNER MEMBRANE PROTEASE	4	4
PANTHER	PTHR22573	PHOSPHOHEXOMUTASE FAMILY MEMBER	4	4
PANTHER	PTHR22603	CHOLINE/ETHANOALAMINE KINASE	4	4
PANTHER	PTHR22734	U3 SMALL NUCLEOLAR RIBONUCLEOPROTEIN PROTEIN IMP4	4	4
PANTHER	PTHR22741	P140CAP/SNIP-RELATED	4	4
PANTHER	PTHR22762	ALPHA-GLUCOSIDASE	4	4
PANTHER	PTHR22855	ACETYL, PROPIONYL, PYRUVATE, AND GLUTACONYL CARBOXYLASE-RELATED	4	4
PANTHER	PTHR22880	FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS	4	4
PANTHER	PTHR22904	TPR REPEAT CONTAINING PROTEIN	4	4
PANTHER	PTHR22912	DISULFIDE OXIDOREDUCTASE	4	4
PANTHER	PTHR22950	AMINO ACID TRANSPORTER	4	4
PANTHER	PTHR23033	BETA1,3-GALACTOSYLTRANSFERASE	4	4
PANTHER	PTHR23090	NH 3 /GLUTAMINE-DEPENDENT NAD +  SYNTHETASE	4	4
PANTHER	PTHR23117	GUANYLATE KINASE-RELATED	4	4
PANTHER	PTHR23270	PROGRAMMED CELL DEATH PROTEIN 11  PRE-RRNA PROCESSING PROTEIN RRP5	4	4
PANTHER	PTHR23294	ET TRANSLATION PRODUCT-RELATED	4	4
PANTHER	PTHR23302	TRANSMEMBRANE CHANNEL-RELATED	4	4
PANTHER	PTHR23316	IMPORTIN ALPHA	4	4
PANTHER	PTHR23322	FAS-ASSOCIATED PROTEIN	4	4
PANTHER	PTHR23333	UBX DOMAIN CONTAINING PROTEIN	4	4
PANTHER	PTHR23342	N-ACETYLGLUTAMATE SYNTHASE	4	4
PANTHER	PTHR23415	CYCLIN-DEPENDENT KINASES REGULATORY SUBUNIT/60S RIBOSOME SUBUNIT BIOGENESIS PROTEIN NIP7	4	4
PANTHER	PTHR24012	RNA BINDING PROTEIN	4	4
PANTHER	PTHR24072	RHO FAMILY GTPASE	4	4
PANTHER	PTHR24074	CO-CHAPERONE PROTEIN DJLA	4	4
PANTHER	PTHR24078	DNAJ HOMOLOG SUBFAMILY C MEMBER	4	4
PANTHER	PTHR24096	LONG-CHAIN-FATTY-ACID--COA LIGASE	4	4
PANTHER	PTHR24113	RAN GTPASE-ACTIVATING PROTEIN 1	4	4
PANTHER	PTHR24220	IMPORT ATP-BINDING PROTEIN	4	4
PANTHER	PTHR24221	ATP-BINDING CASSETTE SUB-FAMILY B	4	4
PANTHER	PTHR24291	CYTOCHROME P450 FAMILY 4	4	4
PANTHER	PTHR24296	CYTOCHROME P450	4	4
PANTHER	PTHR24320	RETINOL DEHYDROGENASE	4	4
PANTHER	PTHR24345	SERINE/THREONINE-PROTEIN KINASE PLK	4	4
PANTHER	PTHR24355	G PROTEIN-COUPLED RECEPTOR KINASE/RIBOSOMAL PROTEIN S6 KINASE	4	4
PANTHER	PTHR28125	MEIOTIC EXPRESSION UP-REGULATED PROTEIN 26	4	4
PANTHER	PTHR30544	23S RRNA METHYLTRANSFERASE	4	4
PANTHER	PTHR31027	NUCLEAR SEGREGATION PROTEIN BFR1	4	4
PANTHER	PTHR31126	TYROSINE-PROTEIN PHOSPHATASE	4	4
PANTHER	PTHR31204	SIGMA INTRACELLULAR RECEPTOR 2	4	4
PANTHER	PTHR31274	PROTEIN ECM3	4	4
PANTHER	PTHR31308		4	4
PANTHER	PTHR31392	ALPHA-1,3-MANNOSYLTRANSFERASE MNN1-RELATED	4	4
PANTHER	PTHR31503	VACUOLAR CALCIUM ION TRANSPORTER	4	4
PANTHER	PTHR31637	2,3-BISPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE	4	4
PANTHER	PTHR31975	BUD SITE SELECTION PROTEIN 7-RELATED	4	4
PANTHER	PTHR32138	PHOSPHATIDYLETHANOLAMINE N-METHYLTRANSFERASE	4	4
PANTHER	PTHR32251	3-OXO-5-ALPHA-STEROID 4-DEHYDROGENASE	4	4
PANTHER	PTHR33281	UPF0187 PROTEIN YNEE	4	4
PANTHER	PTHR34296	TRANSCRIPTIONAL ACTIVATOR PROTEIN MED	4	4
PANTHER	PTHR34384	L-2,3-DIAMINOPROPANOATE--CITRATE LIGASE	4	4
PANTHER	PTHR34391	UPF0658 GOLGI APPARATUS MEMBRANE PROTEIN C1952.10C-RELATED	4	4
PANTHER	PTHR34587	VWFA DOMAIN-CONTAINING PROTEIN	4	4
PANTHER	PTHR35585	HHE DOMAIN PROTEIN (AFU_ORTHOLOGUE AFUA_4G00730)	4	4
PANTHER	PTHR37079	SERINE/THREONINE-PROTEIN KINASE ATM	4	4
PANTHER	PTHR40079	MANNAN ENDO-1,4-BETA-MANNOSIDASE E-RELATED	4	4
PANTHER	PTHR42765	SOLEUCYL-TRNA SYNTHETASE	4	4
PANTHER	PTHR42862	DELTA-1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE 1, ISOFORM A-RELATED	4	4
PANTHER	PTHR42918	LYSYL-TRNA SYNTHETASE	4	4
PANTHER	PTHR42974	GLUTAMINE SYNTHETASE	4	4
PANTHER	PTHR42979	3-ISOPROPYLMALATE DEHYDROGENASE	4	4
PANTHER	PTHR43066	RHOMBOID-RELATED PROTEIN	4	4
PANTHER	PTHR43081	ADENYLATE CYCLASE, TERMINAL-DIFFERENTIATION SPECIFIC-RELATED	4	4
PANTHER	PTHR43100	GLUTAMATE SYNTHASE [NADPH] SMALL CHAIN	4	4
PANTHER	PTHR43127	DEVELOPMENTALLY-REGULATED GTP-BINDING PROTEIN 2	4	4
PANTHER	PTHR43400	FUMARATE REDUCTASE	4	4
PANTHER	PTHR43441	RIBOSOMAL-PROTEIN-SERINE ACETYLTRANSFERASE	4	4
PANTHER	PTHR43447	ALPHA-AMYLASE	4	4
PANTHER	PTHR43450	ASPARTYL-TRNA SYNTHETASE	4	4
PANTHER	PTHR43570	ALDEHYDE DEHYDROGENASE	4	4
PANTHER	PTHR43607	V-TYPE PROTON ATPASE CATALYTIC SUBUNIT A	4	4
PANTHER	PTHR43655	ATP-DEPENDENT PROTEASE	4	4
PANTHER	PTHR43667	CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE	4	4
PANTHER	PTHR43677	SHORT-CHAIN DEHYDROGENASE/REDUCTASE	4	4
PANTHER	PTHR43686	SULFURTRANSFERASE-RELATED	4	4
PANTHER	PTHR43734	PHYTOENE DESATURASE	4	4
PANTHER	PTHR43763	XAA-PRO AMINOPEPTIDASE 1	4	4
PANTHER	PTHR43866	MALONATE-SEMIALDEHYDE DEHYDROGENASE	4	4
PANTHER	PTHR43991	WD REPEAT PROTEIN (AFU_ORTHOLOGUE AFUA_8G05640)-RELATED	4	4
PANTHER	PTHR44117	INTRAFLAGELLAR TRANSPORT PROTEIN 88 HOMOLOG	4	4
PANTHER	PTHR44129	WD REPEAT-CONTAINING PROTEIN POP1	4	4
PANTHER	PTHR44215	WD REPEAT-CONTAINING PROTEIN 75	4	4
PANTHER	PTHR44267	WD REPEAT-CONTAINING PROTEIN 43	4	4
PANTHER	PTHR45627	ADENYLATE CYCLASE TYPE 1	4	4
PANTHER	PTHR45633	60 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL	4	4
PANTHER	PTHR45637	FLIPPASE KINASE 1-RELATED	4	4
PANTHER	PTHR45644	AAA ATPASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_2G12920)-RELATED-RELATED	4	4
PANTHER	PTHR45667	S-ADENOSYLMETHIONINE MITOCHONDRIAL CARRIER PROTEIN	4	4
PANTHER	PTHR45679	ER DEGRADATION-ENHANCING ALPHA-MANNOSIDASE-LIKE PROTEIN 2	4	4
PANTHER	PTHR45696	60S ACIDIC RIBOSOMAL PROTEIN P1	4	4
PANTHER	PTHR45727	NPC INTRACELLULAR CHOLESTEROL TRANSPORTER 1	4	4
PANTHER	PTHR45738	POLYPHOSPHOINOSITIDE PHOSPHATASE	4	4
PANTHER	PTHR45753	ORNITHINE CARBAMOYLTRANSFERASE, MITOCHONDRIAL	4	4
PANTHER	PTHR45755		4	4
PANTHER	PTHR45765	METHIONINE--TRNA LIGASE	4	4
PANTHER	PTHR45815	PROTEIN DISULFIDE-ISOMERASE A6	4	4
PANTHER	PTHR45887	TRANSLATION INITIATION FACTOR EIF-2B SUBUNIT EPSILON	4	4
PANTHER	PTHR45928	RE38146P	4	4
PANTHER	PTHR45936	TRNA-DIHYDROURIDINE(20) SYNTHASE [NAD(P)+]-LIKE	4	4
PANTHER	PTHR45939	PEROXISOMAL MEMBRANE PROTEIN PMP34-RELATED	4	4
PANTHER	PTHR45990	DNA REPAIR PROTEIN REV1	4	4
PANTHER	PTHR45997	DNA LIGASE 4	4	4
PANTHER	PTHR46015	ZGC:172121	4	4
PANTHER	PTHR46028	KYNURENINE 3-MONOOXYGENASE	4	4
PANTHER	PTHR46161	NUCLEOSIDE DIPHOSPHATE KINASE	4	4
PANTHER	PTHR46825	D-ALANYL-D-ALANINE-CARBOXYPEPTIDASE/ENDOPEPTIDASE AMPH	4	4
PANTHER	PTHR47193	CATION CHANNEL SPERM-ASSOCIATED PROTEIN 1	4	4
PANTHER	PTHR47263	ADENYLATE CYCLASE ACTIVATION PROTEIN GIT1	4	4
PANTHER	PTHR47339	CELL DIVISION CONTROL PROTEIN 24	4	4
PANTHER	PTHR47383	OS03G0659800 PROTEIN	4	4
PANTHER	PTHR47640	TRNA SELENOCYSTEINE 1-ASSOCIATED PROTEIN 1-RELATED-RELATED	4	4
PANTHER	PTHR47659	ZN(II)2CYS6 TRANSCRIPTION FACTOR (EUROFUNG)-RELATED	4	4
PANTHER	PTHR47797	DEHYDROGENASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_8G05805)-RELATED	4	4
PANTHER	PTHR47810	DNA LIGASE	4	4
PANTHER	PTHR47829	HYDROLASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G12880)-RELATED	4	4
PANTHER	PTHR47972	KINESIN-LIKE PROTEIN KLP-3	4	4
PANTHER	PTHR47981	RAB FAMILY	4	4
PANTHER	PTHR48007	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE PXC1	4	4
PANTHER	PTHR48039	RNA-BINDING MOTIF PROTEIN 14B	4	4
PANTHER	PTHR48097	L-THREONINE ALDOLASE-RELATED	4	4
PANTHER	PTHR48101	METHYLMALONYL-COA MUTASE, MITOCHONDRIAL-RELATED	4	4
PIRSF	PIRSF000654	ILK	4	4
PIRSF	PIRSF001434	CGS	4	4
PIRSF	PIRSF015921	FA_sphingolip_des	4	4
PIRSF	PIRSF017617	Thr_aldolase	4	4
PIRSF	PIRSF028729	SCF_Skp	4	4
Pfam	PF00128	Alpha amylase, catalytic domain	4	4
Pfam	PF00164	Ribosomal protein S12/S23	4	4
Pfam	PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	4	4
Pfam	PF00200	Disintegrin	4	4
Pfam	PF00335	Tetraspanin family	4	4
Pfam	PF00342	Phosphoglucose isomerase	4	4
Pfam	PF00344	SecY	4	4
Pfam	PF00366	Ribosomal protein S17	4	4
Pfam	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	4	4
Pfam	PF00425	chorismate binding enzyme	4	4
Pfam	PF00448	SRP54-type protein, GTPase domain	4	4
Pfam	PF00466	Ribosomal protein L10	4	4
Pfam	PF00625	Guanylate kinase	4	4
Pfam	PF00657	GDSL-like Lipase/Acylhydrolase	4	4
Pfam	PF00682	HMGL-like	4	4
Pfam	PF00709	Adenylosuccinate synthetase	4	4
Pfam	PF00722	Glycosyl hydrolases family 16	4	4
Pfam	PF00724	NADH:flavin oxidoreductase / NADH oxidase family	4	4
Pfam	PF00786	P21-Rho-binding domain	4	4
Pfam	PF00849	RNA pseudouridylate synthase	4	4
Pfam	PF00850	Histone deacetylase domain	4	4
Pfam	PF00909	Ammonium Transporter Family	4	4
Pfam	PF01019	Gamma-glutamyltranspeptidase	4	4
Pfam	PF01066	CDP-alcohol phosphatidyltransferase	4	4
Pfam	PF01088	Ubiquitin carboxyl-terminal hydrolase, family 1	4	4
Pfam	PF01137	RNA 3'-terminal phosphate cyclase	4	4
Pfam	PF01167	Tub family	4	4
Pfam	PF01176	Translation initiation factor 1A / IF-1	4	4
Pfam	PF01222	Ergosterol biosynthesis ERG4/ERG24 family	4	4
Pfam	PF01223	DNA/RNA non-specific endonuclease	4	4
Pfam	PF01246	Ribosomal protein L24e	4	4
Pfam	PF01274	Malate synthase, TIM barrel domain	4	4
Pfam	PF01363	FYVE zinc finger	4	4
Pfam	PF01388	ARID/BRIGHT DNA binding domain	4	4
Pfam	PF01416	tRNA pseudouridine synthase	4	4
Pfam	PF01431	Peptidase family M13	4	4
Pfam	PF01434	Peptidase family M41	4	4
Pfam	PF01465	GRIP domain	4	4
Pfam	PF01483	Proprotein convertase P-domain	4	4
Pfam	PF01546	Peptidase family M20/M25/M40	4	4
Pfam	PF01633	Choline/ethanolamine kinase	4	4
Pfam	PF01648	4'-phosphopantetheinyl transferase superfamily	4	4
Pfam	PF01702	Queuine tRNA-ribosyltransferase	4	4
Pfam	PF01798	snoRNA binding domain, fibrillarin	4	4
Pfam	PF01814	Hemerythrin HHE cation binding domain	4	4
Pfam	PF01852	START domain	4	4
Pfam	PF01875	Memo-like protein	4	4
Pfam	PF02010	REJ domain	4	4
Pfam	PF02036	SCP-2 sterol transfer family	4	4
Pfam	PF02142	MGS-like domain	4	4
Pfam	PF02149	Kinase associated domain 1	4	4
Pfam	PF02171	Piwi domain	4	4
Pfam	PF02190	ATP-dependent protease La (LON) substrate-binding domain	4	4
Pfam	PF02338	OTU-like cysteine protease	4	4
Pfam	PF02366	Dolichyl-phosphate-mannose-protein mannosyltransferase	4	4
Pfam	PF02415	Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat	4	4
Pfam	PF02466	Tim17/Tim22/Tim23/Pmp24 family	4	4
Pfam	PF02598	Putative RNA methyltransferase	4	4
Pfam	PF02666	Phosphatidylserine decarboxylase	4	4
Pfam	PF02668	Taurine catabolism dioxygenase TauD, TfdA family	4	4
Pfam	PF02732	ERCC4 domain	4	4
Pfam	PF02780	Transketolase, C-terminal domain	4	4
Pfam	PF02781	Glucose-6-phosphate dehydrogenase, C-terminal domain	4	4
Pfam	PF02800	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	4	4
Pfam	PF02815	MIR domain	4	4
Pfam	PF02854	MIF4G domain	4	4
Pfam	PF02881	SRP54-type protein, helical bundle domain	4	4
Pfam	PF02882	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	4	4
Pfam	PF02883	Adaptin C-terminal domain	4	4
Pfam	PF02891	MIZ/SP-RING zinc finger	4	4
Pfam	PF03009	Glycerophosphoryl diester phosphodiesterase family	4	4
Pfam	PF03070	TENA/THI-4/PQQC family	4	4
Pfam	PF03114	BAR domain	4	4
Pfam	PF03124	EXS family	4	4
Pfam	PF03133	Tubulin-tyrosine ligase family	4	4
Pfam	PF03159	XRN 5'-3' exonuclease N-terminus	4	4
Pfam	PF03171	2OG-Fe(II) oxygenase superfamily	4	4
Pfam	PF03188	Eukaryotic cytochrome b561	4	4
Pfam	PF03224	V-ATPase subunit H	4	4
Pfam	PF03332	Eukaryotic phosphomannomutase	4	4
Pfam	PF03407	Nucleotide-diphospho-sugar transferase	4	4
Pfam	PF03441	FAD binding domain of DNA photolyase	4	4
Pfam	PF03464	eRF1 domain 2	4	4
Pfam	PF03547	Membrane transport protein	4	4
Pfam	PF03647	Transmembrane proteins 14C	4	4
Pfam	PF03765	CRAL/TRIO, N-terminal domain	4	4
Pfam	PF03807	NADP oxidoreductase coenzyme F420-dependent	4	4
Pfam	PF03878	YIF1	4	4
Pfam	PF03909	BSD domain	4	4
Pfam	PF03917	Eukaryotic glutathione synthase, ATP binding domain	4	4
Pfam	PF03959	Serine hydrolase (FSH1)	4	4
Pfam	PF03983	SLA1 homology domain 1, SHD1	4	4
Pfam	PF04053	COPA/B second beta-propeller	4	4
Pfam	PF04091	Exocyst complex subunit Sec15 C-terminal	4	4
Pfam	PF04119	Heat shock protein 9/12	4	4
Pfam	PF04433	SWIRM domain	4	4
Pfam	PF04502	Saf4/Yju2 protein	4	4
Pfam	PF04707	PRELI-like family	4	4
Pfam	PF04715	Anthranilate synthase component I, N terminal region	4	4
Pfam	PF04757	Pex2 / Pex12 amino terminal region	4	4
Pfam	PF04810	Sec23/Sec24 zinc finger	4	4
Pfam	PF04824	Conserved region of Rad21 / Rec8 like protein	4	4
Pfam	PF04825	N terminus of Rad21 / Rec8 like protein	4	4
Pfam	PF04855	SNF5 / SMARCB1 / INI1	4	4
Pfam	PF04884	Vitamin B6 photo-protection and homoeostasis domain	4	4
Pfam	PF05222	Alanine dehydrogenase/PNT, N-terminal domain	4	4
Pfam	PF05670	NFACT protein RNA binding domain	4	4
Pfam	PF05843	Suppressor of forked protein (Suf)	4	4
Pfam	PF05875	Ceramidase	4	4
Pfam	PF05907	CXXC motif containing zinc binding protein, eukaryotic	4	4
Pfam	PF06027	Solute carrier family 35	4	4
Pfam	PF06127	2-hydroxy-palmitic acid dioxygenase Mpo1-like	4	4
Pfam	PF06155	Gamma-butyrobetaine hydroxylase-like, N-terminal	4	4
Pfam	PF06294	CH-like domain in sperm protein	4	4
Pfam	PF06371	Diaphanous GTPase-binding Domain	4	4
Pfam	PF06428	GDP/GTP exchange factor Sec2p	4	4
Pfam	PF06470	SMC proteins Flexible Hinge Domain	4	4
Pfam	PF06738	Putative threonine/serine exporter	4	4
Pfam	PF06814	GOST, seven transmembrane domain	4	4
Pfam	PF06920	DHR-2, Lobe A	4	4
Pfam	PF07521	Zn-dependent metallo-hydrolase RNA specificity domain	4	4
Pfam	PF07647	SAM domain (Sterile alpha motif)	4	4
Pfam	PF07687	Peptidase dimerisation domain	4	4
Pfam	PF07767	Nop53 (60S ribosomal biogenesis)	4	4
Pfam	PF07970	Endoplasmic reticulum vesicle transporter	4	4
Pfam	PF07987	Domain of unkown function (DUF1775)	4	4
Pfam	PF07995	Glucose / Sorbosone dehydrogenase	4	4
Pfam	PF08123	Histone methylation protein DOT1	4	4
Pfam	PF08142	AARP2CN (NUC121) domain	4	4
Pfam	PF08235	LNS2 (Lipin/Ned1/Smp2)	4	4
Pfam	PF08267	Cobalamin-independent synthase, N-terminal domain	4	4
Pfam	PF08325	WLM domain	4	4
Pfam	PF08389	Exportin 1-like protein	4	4
Pfam	PF08477	Ras of Complex, Roc, domain of DAPkinase	4	4
Pfam	PF08543	Phosphomethylpyrimidine kinase	4	4
Pfam	PF08544	GHMP kinases C terminal	4	4
Pfam	PF08553	VID27 C-terminal WD40-like domain	4	4
Pfam	PF08628	Sorting nexin C terminal	4	4
Pfam	PF08704	tRNA methyltransferase complex GCD14 subunit	4	4
Pfam	PF08799	pre-mRNA processing factor 4 (PRP4) like	4	4
Pfam	PF09139	Phosphatidate cytidylyltransferase, mitochondrial	4	4
Pfam	PF09180	Prolyl-tRNA synthetase, C-terminal	4	4
Pfam	PF09325	Vps5 C terminal like	4	4
Pfam	PF09359	VTC domain	4	4
Pfam	PF09742	Dyggve-Melchior-Clausen syndrome protein	4	4
Pfam	PF10211	Axonemal dynein light chain	4	4
Pfam	PF10263	SprT-like family	4	4
Pfam	PF10551	MULE transposase domain	4	4
Pfam	PF11051	Mannosyltransferase putative	4	4
Pfam	PF11563	Protoglobin	4	4
Pfam	PF11815	Domain of unknown function (DUF3336)	4	4
Pfam	PF11976	Ubiquitin-2 like Rad60 SUMO-like	4	4
Pfam	PF11987	Translation-initiation factor 2	4	4
Pfam	PF12146	Serine aminopeptidase, S33	4	4
Pfam	PF12265	Histone-binding protein RBBP4 or subunit C of CAF1 complex	4	4
Pfam	PF12349	Sterol-sensing domain of SREBP cleavage-activation	4	4
Pfam	PF12437	Glutamine synthetase type III N terminal	4	4
Pfam	PF12697	Alpha/beta hydrolase family	4	4
Pfam	PF12783	Mon2/Sec7/BIG1-like, HUS domain	4	4
Pfam	PF12807	Translation initiation factor eIF3 subunit 135	4	4
Pfam	PF12848	ABC transporter	4	4
Pfam	PF12874	Zinc-finger of C2H2 type	4	4
Pfam	PF12894	Anaphase-promoting complex subunit 4 WD40 domain	4	4
Pfam	PF13174	Tetratricopeptide repeat	4	4
Pfam	PF13188	PAS domain	4	4
Pfam	PF13234	Mtr4-like, beta-barrel domain	4	4
Pfam	PF13236	Clustered mitochondria	4	4
Pfam	PF13243	Squalene-hopene cyclase C-terminal domain	4	4
Pfam	PF13358	DDE superfamily endonuclease	4	4
Pfam	PF13409	Glutathione S-transferase, N-terminal domain	4	4
Pfam	PF13410	Glutathione S-transferase, C-terminal domain	4	4
Pfam	PF13445	RING-type zinc-finger	4	4
Pfam	PF13458	Periplasmic binding protein	4	4
Pfam	PF13532	2OG-Fe(II) oxygenase superfamily	4	4
Pfam	PF13863	Domain of unknown function (DUF4200)	4	4
Pfam	PF13870	CCDC113/CCDC96, coiled-coil	4	4
Pfam	PF13967	Late exocytosis, associated with Golgi transport	4	4
Pfam	PF14429	C2 domain in Dock180 and Zizimin proteins	4	4
Pfam	PF14555	UBA-like domain	4	4
Pfam	PF14616	Transcription regulator Rua1, C-terminal	4	4
Pfam	PF14737	Domain of unknown function (DUF4470)	4	4
Pfam	PF14743	DNA ligase OB-like domain	4	4
Pfam	PF14748	Pyrroline-5-carboxylate reductase dimerisation	4	4
Pfam	PF15985	KH domain	4	4
Pfam	PF16177	Acetyl-coenzyme A synthetase N-terminus	4	4
Pfam	PF16414	Niemann-Pick C1 N terminus	4	4
Pfam	PF16486	N-terminal domain of argonaute	4	4
Pfam	PF16488	Argonaute linker 2 domain	4	4
Pfam	PF16870	2-oxoglutarate dehydrogenase C-terminal	4	4
Pfam	PF16897	C-terminal region of MMR_HSR1 domain	4	4
Pfam	PF17781	RPN1 N-terminal domain	4	4
Pfam	PF18004	26S proteasome regulatory subunit RPN2 C-terminal domain	4	4
Pfam	PF18334	Exoribonuclease Xrn1 D2/D3 domain	4	4
Pfam	PF18717	CxC4 like cysteine cluster associated with KDZ transposases	4	4
Pfam	PF19055	ABC-2 type transporter	4	4
Pfam	PF20421	DHR-2, Lobe C	4	4
Pfam	PF20422	DHR-2, Lobe B	4	4
Pfam	PF20434	BD-FAE	4	4
Pfam	PF20826	PhD finger domain	4	4
Pfam	PF21948	Lipoyl protein ligase A/B catalytic domain	4	4
Pfam	PF22366	NDH2 C-terminal domain	4	4
Pfam	PF22486	MATH domain	4	4
Pfam	PF22810	Lytic polysaccharide monooxygenase AA14	4	4
Pfam	PF22919	C-terminal domain of V and A type ATP synthase	4	4
Pfam	PF23410	Vps8 beta-propeller	4	4
Pfam	PF23436	RabGAP TBC domain	4	4
Pfam	PF23469	KH-domain	4	4
Pfam	PF24161	Coiled-coil domain-containing protein 39	4	4
Pfam	PF24656	CEP76 peptidase-like domain	4	4
Pfam	PF24807	CDC20/Fizzy WD40 domain	4	4
Pfam	PF25006	Domain of unknown function (DUF7783)	4	4
Pfam	PF25175	WDR5 beta-propeller domain	4	4
Pfam	PF25573	PSMD3-like, N-terminal TPR repeats	4	4
Pfam	PF25972	At4g15545-like, C-terminal domain	4	4
Pfam	PF26146	PI-PLC X	4	4
ProSitePatterns	PS00012	Phosphopantetheine attachment site.	4	4
ProSitePatterns	PS00027	'Homeobox' domain signature.	4	4
ProSitePatterns	PS00055	Ribosomal protein S12 signature.	4	4
ProSitePatterns	PS00070	Aldehyde dehydrogenases cysteine active site.	4	4
ProSitePatterns	PS00095	C-5 cytosine-specific DNA methylases C-terminal signature.	4	4
ProSitePatterns	PS00098	Thiolases acyl-enzyme intermediate signature.	4	4
ProSitePatterns	PS00132	Zinc carboxypeptidases, zinc-binding region 1 signature.	4	4
ProSitePatterns	PS00158	Fructose-bisphosphate aldolase class-I active site.	4	4
ProSitePatterns	PS00162	Alpha-carbonic anhydrases signature.	4	4
ProSitePatterns	PS00175	Phosphoglycerate mutase family phosphohistidine signature.	4	4
ProSitePatterns	PS00292	Cyclins signature.	4	4
ProSitePatterns	PS00300	SRP54-type proteins GTP-binding domain signature.	4	4
ProSitePatterns	PS00627	GHMP kinases putative ATP-binding domain.	4	4
ProSitePatterns	PS00720	Ras Guanine-nucleotide exchange factors domain signature.	4	4
ProSitePatterns	PS00737	Thiolases signature 2.	4	4
